rank_2020,city,state,population_2020,population_2010,land_area_sqmi,density,one_adult_no_kids_living_wage,one_adult_one_kid_living_wage,one_adult_two_kids_living_wage,one_adult_three_kids_living_wage,two_adults_one_working_no_kids_living_wage,two_adults_one_working_one_kid_living_wage,two_adults_one_working_two_kids_living_wage,two_adults_one_working_three_kids_living_wage,two_adults_both_working_no_kids_living_wage,two_adults_both_working_one_kid_living_wage,two_adults_both_working_two_kids_living_wage,two_adults_both_working_three_kids_living_wage
1,New York,New York,8804190,8175133,300.5,29298,20.00,38.99,49.18,64.30,29.16,34.35,38.13,42.42,14.03,20.95,26.53,32.40
2,Los Angeles,California,3898747,3792621,469.5,8304,19.22,41.55,51.30,67.56,31.01,37.96,41.94,47.75,14.62,22.36,27.73,34.01
3,Chicago,Illinois,2746388,2695598,227.7,12061,16.08,32.25,40.20,51.69,25.41,29.73,33.38,35.93,12.28,17.52,22.01,25.94
4,Houston,Texas,2304580,2099451,640.4,3599,14.29,29.09,35.73,46.02,22.88,27.54,30.93,33.69,11.14,15.85,19.63,23.09
5,Phoenix,Arizona,1608139,1445632,518.0,3105,15.41,29.44,35.40,46.01,24.85,29.25,32.98,36.95,12.03,16.21,19.65,23.23
6,Philadelphia,Pennsylvania,1603797,1526006,134.4,11933,14.47,30.17,38.31,49.53,22.94,27.23,30.64,33.12,10.97,16.42,20.95,25.00
7,San Antonio,Texas,1434625,1327407,498.8,2876,13.47,28.67,35.22,44.94,22.46,27.21,30.61,32.89,10.73,15.64,19.38,22.55
8,San Diego,California,1386932,1307402,325.9,4256,19.63,41.41,50.88,67.95,30.89,38.10,42.08,48.98,14.84,22.29,27.52,34.21
9,Dallas,Texas,1304379,1197816,339.6,3841,15.00,30.51,37.35,48.03,23.84,28.74,32.14,35.07,11.50,16.56,20.44,24.10
10,San Jose,California,1013240,945942,178.3,5683,25.12,50.18,61.69,81.63,37.33,44.83,48.81,56.53,17.37,26.68,32.93,41.05
11,Austin,Texas,961855,790390,319.9,3007,15.42,31.33,38.44,49.34,24.39,29.30,32.69,35.58,11.71,16.97,20.99,24.75
12,Jacksonville,Florida,949611,821784,747.3,1271,13.48,29.61,36.72,47.10,23.02,27.58,30.98,33.34,10.94,16.11,20.13,23.63
13,Fort Worth,Texas,918915,741206,342.9,2680,15.00,30.51,37.35,48.03,23.84,28.74,32.14,35.07,11.50,16.56,20.44,24.10
14,Columbus,Ohio,905748,787033,220.0,4117,13.90,29.99,38.26,50.29,22.83,27.07,30.67,32.73,11.02,16.37,21.14,25.24
15,Indianapolis,Indiana,887642,820445,361.6,2455,13.96,28.33,34.80,44.54,22.76,27.20,30.78,33.10,11.03,15.54,19.27,22.36
16,Charlotte,North Carolina,874579,731424,308.3,2837,15.49,30.70,38.56,49.98,24.07,28.29,31.92,34.52,11.94,16.75,21.17,25.08
17,San Francisco,California,873965,805235,46.9,18635,22.88,48.61,60.41,80.09,35.48,42.97,46.95,54.12,16.23,25.89,32.29,40.28
18,Seattle,Washington,737015,608660,83.8,8795,18.56,35.19,43.42,58.29,26.93,32.44,35.99,41.98,13.08,19.01,23.57,29.35
19,Denver,Colorado,715522,600158,153.1,4674,17.40,36.15,45.45,60.09,27.03,32.66,36.41,41.07,13.00,19.57,24.69,30.26
20,Washington,District of Columbia,689545,601723,61.1,11286,19.97,38.95,48.99,63.96,29.61,34.55,38.32,42.24,14.37,20.92,26.46,32.07
21,Nashville,Tennessee,689447,601222,475.8,1449,14.78,28.12,34.11,43.50,22.92,27.22,30.61,33.11,11.27,15.37,18.82,21.83
22,Oklahoma City,Oklahoma,681054,579999,606.2,1123,14.11,28.92,35.77,46.04,22.96,27.49,31.10,33.56,11.35,15.85,19.77,23.11
23,El Paso,Texas,678815,649121,258.4,2627,12.40,26.18,31.69,40.57,21.33,25.75,29.14,31.61,10.20,14.39,17.61,20.36
24,Boston,Massachusetts,675647,617594,48.3,13989,19.17,39.08,50.21,65.93,27.79,33.14,36.55,40.54,13.35,20.88,26.89,33.19
25,Portland,Oregon,652503,583776,133.5,4888,18.72,35.28,43.26,57.35,28.40,33.44,37.40,42.81,13.84,19.22,23.70,28.91
26,Las Vegas,Nevada,641903,583756,141.8,4527,13.77,29.19,36.89,48.83,23.12,26.98,30.53,34.14,11.06,16.01,20.30,24.62
27,Detroit,Michigan,639111,713777,138.7,4608,13.79,32.85,44.46,59.27,22.61,26.63,30.25,32.49,10.86,17.81,24.11,29.73
28,Memphis,Tennessee,633104,646889,297.0,2132,13.26,26.49,32.50,41.67,21.61,25.56,28.96,31.22,10.51,14.55,18.02,20.92
29,Louisville,Kentucky,633045,597337,263.5,2402,14.08,29.36,36.76,47.45,22.97,27.50,31.14,33.52,11.14,16.08,20.28,23.81
30,Baltimore,Maryland,585708,620961,80.9,7240,15.81,33.91,42.00,54.25,25.78,31.19,34.78,37.82,12.15,18.33,22.87,27.21
31,Milwaukee,Wisconsin,577222,594833,96.2,6000,14.15,31.60,41.17,53.76,23.39,27.55,31.26,33.29,11.21,17.22,22.52,26.97
32,Albuquerque,New Mexico,564559,545852,187.3,3014,13.70,28.82,35.46,45.96,23.43,28.01,31.77,34.96,11.21,15.91,19.70,23.20
33,Tucson,Arizona,542629,520116,241.0,2252,13.80,28.52,35.14,45.83,23.18,27.67,31.40,34.79,11.23,15.75,19.52,23.13
34,Fresno,California,542107,494665,115.2,4706,14.14,32.52,41.04,53.84,24.62,30.16,34.14,37.71,11.95,17.85,22.60,27.15
35,Sacramento,California,524943,466488,98.6,5324,16.42,35.93,45.04,59.82,27.17,32.97,36.95,41.91,13.16,19.55,24.60,30.14
36,Kansas City,Missouri,508090,459787,314.7,1615,14.40,30.02,36.64,46.85,24.09,28.91,32.61,35.21,11.56,16.43,20.25,23.52
37,Mesa,Arizona,504258,439041,138.7,3636,15.41,29.44,35.40,46.01,24.85,29.25,32.98,36.95,12.03,16.21,19.65,23.23
38,Atlanta,Georgia,498715,420003,135.3,3686,16.56,31.33,38.33,48.79,25.29,29.79,33.44,35.92,12.54,17.07,21.07,24.48
39,Omaha,Nebraska,486051,408958,133.2,3649,14.40,30.31,37.74,48.73,23.99,28.44,32.18,34.74,11.59,16.58,20.82,24.46
40,Colorado Springs,Colorado,478961,416427,195.4,2451,14.77,31.96,40.09,52.90,24.45,29.64,33.39,37.39,11.68,17.48,22.01,26.67
41,Raleigh,North Carolina,467665,403892,145.1,3223,16.32,33.39,42.82,55.66,25.14,29.42,33.06,35.52,12.35,18.10,23.30,27.92
42,Long Beach,California,466742,462257,50.7,9206,19.22,41.55,51.30,67.56,31.01,37.96,41.94,47.75,14.62,22.36,27.73,34.01
43,Virginia Beach,Virginia,459470,437994,244.7,1878,16.33,31.83,39.54,51.70,24.57,29.51,33.12,36.61,12.28,17.30,21.65,25.94
